[Item Amount],vp数字,费用数字,text_top,text_top:color,text_owner,text_card_type,text_bottom,牌面背景:color,[Item Note]
1,2,0,士卒,,{north},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{north},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{north},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{north},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{north},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{north},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,流民,,{north},"<align=""center"">{card_strategy}</align>",{passive}{refugee}被{save}时，自动放置回供应堆。{save}{refugee}的{player}获得2{vp}。,,
1,2,0,宫廷,,{north},"<align=""center"">{card_strategy}-{affair}</align>",{decision}{save}1张{candidate}。{newline}{resource}1{battle}。,,
1,2,0,征辟人才,,{north},"<align=""center"">{card_strategy}-{affair}</align>",{decision}摸2张牌。如果{affair}标记数>3，额外摸1张牌。{newline}{resource}1{battle}。,,
1,-9,2,轻骑兵,,{north},"<align=""center"">{card_strategy}-{military}</align>",{decision}2{battle}。选择1个{player}，随机抽取他的1张{hand}。{newline}{resource}2{battle}1{vp}。,,
